code,event_date,group
041520,2025-02-14,CANDIDATE_RECLAIM
058430,2025-02-19,CANDIDATE_RECLAIM
307930,2025-02-19,CONTROL_NO_RECLAIM
035760,2025-02-20,CANDIDATE_RECLAIM
051370,2025-02-21,CANDIDATE_RECLAIM
446540,2025-02-24,CANDIDATE_RECLAIM
011760,2025-02-25,CONTROL_NO_RECLAIM
078890,2025-02-26,CONTROL_NO_RECLAIM
194370,2025-02-27,CONTROL_NO_RECLAIM
085660,2025-03-04,CONTROL_NO_RECLAIM
004000,2025-03-05,CONTROL_NO_RECLAIM
008420,2025-03-05,CONTROL_NO_RECLAIM
011210,2025-03-05,CANDIDATE_RECLAIM
056190,2025-03-05,CONTROL_NO_RECLAIM
222980,2025-03-05,CONTROL_NO_RECLAIM
413640,2025-03-05,CONTROL_NO_RECLAIM
022100,2025-03-06,CONTROL_NO_RECLAIM
101530,2025-03-06,CONTROL_NO_RECLAIM
460860,2025-03-06,CONTROL_NO_RECLAIM
032350,2025-03-07,CONTROL_NO_RECLAIM
059210,2025-03-07,CONTROL_NO_RECLAIM
280360,2025-03-07,CANDIDATE_RECLAIM
453860,2025-03-12,CONTROL_NO_RECLAIM
001040,2025-03-14,CANDIDATE_RECLAIM
007860,2025-03-14,CANDIDATE_RECLAIM
079960,2025-03-14,CONTROL_NO_RECLAIM
241520,2025-03-14,CONTROL_NO_RECLAIM
432470,2025-03-14,CONTROL_NO_RECLAIM
000390,2025-03-17,CONTROL_NO_RECLAIM
001750,2025-03-17,CONTROL_NO_RECLAIM
024720,2025-03-17,CANDIDATE_RECLAIM
382900,2025-03-17,CONTROL_NO_RECLAIM
028050,2025-03-18,CANDIDATE_RECLAIM
007310,2025-03-19,CONTROL_NO_RECLAIM
097950,2025-03-19,CONTROL_NO_RECLAIM
103140,2025-03-19,CANDIDATE_RECLAIM
005490,2025-03-20,CANDIDATE_RECLAIM
194700,2025-03-20,CONTROL_NO_RECLAIM
000370,2025-03-24,CONTROL_NO_RECLAIM
001800,2025-03-25,CONTROL_NO_RECLAIM
092300,2025-03-25,CONTROL_NO_RECLAIM
037070,2025-03-26,CONTROL_NO_RECLAIM
005930,2025-03-27,CANDIDATE_RECLAIM
019210,2025-04-04,CONTROL_NO_RECLAIM
043910,2025-04-04,CONTROL_NO_RECLAIM
304360,2025-04-04,CONTROL_NO_RECLAIM
086900,2025-04-10,CONTROL_NO_RECLAIM
003480,2025-04-11,CONTROL_NO_RECLAIM
192080,2025-04-11,CONTROL_NO_RECLAIM
200350,2025-04-11,CANDIDATE_RECLAIM
321820,2025-04-11,CONTROL_NO_RECLAIM
336570,2025-04-11,CANDIDATE_RECLAIM
381970,2025-04-11,CONTROL_NO_RECLAIM
049470,2025-04-16,CANDIDATE_RECLAIM
085620,2025-04-16,CANDIDATE_RECLAIM
011930,2025-04-17,CONTROL_NO_RECLAIM
201490,2025-04-17,CONTROL_NO_RECLAIM
446070,2025-04-17,CANDIDATE_RECLAIM
004980,2025-04-18,CANDIDATE_RECLAIM
013580,2025-04-18,CONTROL_NO_RECLAIM
163730,2025-04-18,CANDIDATE_RECLAIM
002800,2025-04-21,CANDIDATE_RECLAIM
270520,2025-04-21,CONTROL_NO_RECLAIM
289080,2025-04-21,CANDIDATE_RECLAIM
041960,2025-04-22,CANDIDATE_RECLAIM
263800,2025-04-22,CANDIDATE_RECLAIM
389260,2025-04-22,CANDIDATE_RECLAIM
091590,2025-04-23,CONTROL_NO_RECLAIM
340810,2025-04-23,CANDIDATE_RECLAIM
038110,2025-04-25,CANDIDATE_RECLAIM
046440,2025-04-25,CONTROL_NO_RECLAIM
126600,2025-04-25,CONTROL_NO_RECLAIM
183190,2025-04-28,CONTROL_NO_RECLAIM
290560,2025-04-28,CANDIDATE_RECLAIM
046310,2025-04-29,CONTROL_NO_RECLAIM
082640,2025-04-29,CANDIDATE_RECLAIM
244920,2025-04-29,CANDIDATE_RECLAIM
321550,2025-04-29,CANDIDATE_RECLAIM
347860,2025-04-29,CONTROL_NO_RECLAIM
016880,2025-04-30,CANDIDATE_RECLAIM
234300,2025-05-02,CONTROL_NO_RECLAIM
004910,2025-05-08,CONTROL_NO_RECLAIM
041460,2025-05-08,CONTROL_NO_RECLAIM
093520,2025-05-08,CONTROL_NO_RECLAIM
126340,2025-05-08,CONTROL_NO_RECLAIM
297090,2025-05-08,CONTROL_NO_RECLAIM
008930,2025-05-09,CONTROL_NO_RECLAIM
222110,2025-05-09,CONTROL_NO_RECLAIM
246250,2025-05-09,CANDIDATE_RECLAIM
