axis,wm_modern_state,ma112_phase,ma224_phase,ma448_phase,events,success_events,failure_events,fast_success_events,shakeout_then_go_events,early_spike_giveback_events,time_failure_events,success_rate,failure_rate,giveback_rate,d20_close_median,d20_mfe_median,d20_mae_median,sample_flag,signature_id,freeze_role,research_only,production_gate_allowed
MODERN_STATE_X_ALL_LONGMA_PHASES,눌림수박,ABOVE_STABLE,ABOVE_STABLE,ABOVE_STABLE,3,0,3,0,0,1,0,0.0,1.0,0.3333333333333333,-3.937500000000005,14.187499999999996,-9.35828877005348,SMALL_3_4,WMF_F6096A88BC2A,ALL_REPEATED_DISCOVERY_SIGNATURES_N3PLUS,1,0
MODERN_STATE_X_ALL_LONGMA_PHASES,없음,ABOVE_STABLE,ABOVE_STABLE,ABOVE_STABLE,14,6,6,3,3,5,2,0.4285714285714285,0.4285714285714285,0.3571428571428571,2.6533103519756245,21.8196922252244,-9.214657256510645,REPEATED_5PLUS,WMF_46D5A847D2E2,ALL_REPEATED_DISCOVERY_SIGNATURES_N3PLUS,1,0
MODERN_STATE_X_ALL_LONGMA_PHASES,없음,RECLAIM_20,ABOVE_STABLE,ABOVE_STABLE,7,2,5,0,2,2,0,0.2857142857142857,0.7142857142857143,0.2857142857142857,-12.624999999999996,7.167235494880542,-20.749542961608785,REPEATED_5PLUS,WMF_9096E28D67F2,ALL_REPEATED_DISCOVERY_SIGNATURES_N3PLUS,1,0
MODERN_STATE_X_ALL_LONGMA_PHASES,없음,RECLAIM_20,RECLAIM_20,RECLAIM_20,3,2,1,1,1,1,0,0.6666666666666666,0.3333333333333333,0.3333333333333333,13.230769230769225,17.307692307692314,-13.79883624272652,SMALL_3_4,WMF_F9FFEE8A21C5,ALL_REPEATED_DISCOVERY_SIGNATURES_N3PLUS,1,0
MODERN_STATE_X_ALL_LONGMA_PHASES,초입수박,ABOVE_STABLE,ABOVE_STABLE,ABOVE_STABLE,5,2,2,0,2,1,1,0.4,0.4,0.2,-1.2422360248447228,14.080656185919338,-11.335403726708073,REPEATED_5PLUS,WMF_A0F8AFE67D54,ALL_REPEATED_DISCOVERY_SIGNATURES_N3PLUS,1,0
MODERN_STATE_X_ALL_LONGMA_PHASES,초입수박,RECLAIM_20,ABOVE_STABLE,ABOVE_STABLE,3,0,3,0,0,2,0,0.0,1.0,0.6666666666666666,-18.55583543240974,6.633081444164568,-27.86610878661088,SMALL_3_4,WMF_B6F9AB7838B3,ALL_REPEATED_DISCOVERY_SIGNATURES_N3PLUS,1,0
MODERN_STATE_X_ALL_LONGMA_PHASES,후행수박,ABOVE_STABLE,ABOVE_STABLE,ABOVE_STABLE,20,6,14,1,5,10,0,0.3,0.7,0.5,-5.037775512598475,16.207433870477338,-12.535714285714285,REPEATED_5PLUS,WMF_AAB81C6F504B,ALL_REPEATED_DISCOVERY_SIGNATURES_N3PLUS,1,0
MODERN_STATE_X_ALL_LONGMA_PHASES,후행수박,BELOW,BELOW,BELOW,7,4,3,0,4,2,0,0.5714285714285714,0.4285714285714285,0.2857142857142857,4.742768387648932,16.61891117478509,-11.992619926199266,REPEATED_5PLUS,WMF_F9F77277FE8D,ALL_REPEATED_DISCOVERY_SIGNATURES_N3PLUS,1,0
MODERN_STATE_X_ALL_LONGMA_PHASES,후행수박,RECLAIM_20,ABOVE_STABLE,ABOVE_STABLE,11,4,7,1,3,1,0,0.3636363636363636,0.6363636363636364,0.0909090909090909,-5.147864184008766,9.643916913946594,-10.786106032906762,REPEATED_5PLUS,WMF_4F02AC9AA83A,ALL_REPEATED_DISCOVERY_SIGNATURES_N3PLUS,1,0
MODERN_STATE_X_ALL_LONGMA_PHASES,후행수박,RECLAIM_20,BELOW,RECLAIM_20,3,2,1,1,1,1,0,0.6666666666666666,0.3333333333333333,0.3333333333333333,21.98088618592529,22.67593397046046,-10.01053740779768,SMALL_3_4,WMF_2CDFFDF4B28D,ALL_REPEATED_DISCOVERY_SIGNATURES_N3PLUS,1,0
MODERN_STATE_X_ALL_LONGMA_PHASES,후행수박,RECLAIM_20,RECLAIM_20,ABOVE_STABLE,5,1,4,0,1,2,0,0.2,0.8,0.4,-14.484451718494274,10.663683818046232,-18.166939443535192,REPEATED_5PLUS,WMF_9DBEC123A6F8,ALL_REPEATED_DISCOVERY_SIGNATURES_N3PLUS,1,0
MODERN_STATE_X_ALL_LONGMA_PHASES,후행수박,RECLAIM_20,RECLAIM_20,RECLAIM_20,3,2,1,2,0,0,0,0.6666666666666666,0.3333333333333333,0.0,1.9685039370078703,22.598425196850403,-2.7559055118110187,SMALL_3_4,WMF_AA321F9BB0BB,ALL_REPEATED_DISCOVERY_SIGNATURES_N3PLUS,1,0
MODERN_STATE_X_MA224_X_MA448,눌림수박,,ABOVE_STABLE,ABOVE_STABLE,3,0,3,0,0,1,0,0.0,1.0,0.3333333333333333,-3.937500000000005,14.187499999999996,-9.35828877005348,SMALL_3_4,WMF_1F594E46CA7F,ALL_REPEATED_DISCOVERY_SIGNATURES_N3PLUS,1,0
MODERN_STATE_X_MA224_X_MA448,없음,,ABOVE_STABLE,ABOVE_STABLE,21,8,11,3,5,7,2,0.3809523809523809,0.5238095238095238,0.3333333333333333,-3.4482758620689613,16.495901639344268,-11.125485122897803,REPEATED_5PLUS,WMF_164D706B0212,ALL_REPEATED_DISCOVERY_SIGNATURES_N3PLUS,1,0
MODERN_STATE_X_MA224_X_MA448,없음,,RECLAIM_20,ABOVE_STABLE,3,0,3,0,0,1,0,0.0,1.0,0.3333333333333333,-14.196642685851325,4.733405875952124,-19.31447225244831,SMALL_3_4,WMF_615767362313,ALL_REPEATED_DISCOVERY_SIGNATURES_N3PLUS,1,0
MODERN_STATE_X_MA224_X_MA448,없음,,RECLAIM_20,RECLAIM_20,3,2,1,1,1,1,0,0.6666666666666666,0.3333333333333333,0.3333333333333333,13.230769230769225,17.307692307692314,-13.79883624272652,SMALL_3_4,WMF_32E0E978843A,ALL_REPEATED_DISCOVERY_SIGNATURES_N3PLUS,1,0
MODERN_STATE_X_MA224_X_MA448,초입수박,,ABOVE_STABLE,ABOVE_STABLE,9,3,5,0,3,3,1,0.3333333333333333,0.5555555555555556,0.3333333333333333,-3.007518796992481,13.009592326139096,-27.86610878661088,REPEATED_5PLUS,WMF_743B8A1A61D7,ALL_REPEATED_DISCOVERY_SIGNATURES_N3PLUS,1,0
MODERN_STATE_X_MA224_X_MA448,후행수박,,ABOVE_STABLE,ABOVE_STABLE,31,10,21,2,8,11,0,0.3225806451612903,0.6774193548387096,0.3548387096774194,-5.147864184008766,15.398550724637673,-12.5,REPEATED_5PLUS,WMF_4AC006680475,ALL_REPEATED_DISCOVERY_SIGNATURES_N3PLUS,1,0
