code,event_date,group
274090,2024-09-09,NO_RECLAIM_CONTEMPORANEOUS_CONTROL
176750,2024-10-18,R2C1_RECLAIM_CANDIDATE
090470,2025-02-11,NO_RECLAIM_CONTEMPORANEOUS_CONTROL
053290,2025-03-07,R2C1_RECLAIM_CANDIDATE
321550,2025-04-29,R2C1_RECLAIM_CANDIDATE
036170,2025-05-21,NO_RECLAIM_CONTEMPORANEOUS_CONTROL
288330,2025-06-20,R2C1_RECLAIM_CANDIDATE
396300,2025-06-26,R2C1_RECLAIM_CANDIDATE
002720,2025-07-10,NO_RECLAIM_CONTEMPORANEOUS_CONTROL
024120,2025-12-22,R2C1_RECLAIM_CANDIDATE
215790,2026-01-13,NO_RECLAIM_CONTEMPORANEOUS_CONTROL
000910,2026-02-19,NO_RECLAIM_CONTEMPORANEOUS_CONTROL
109080,2026-02-23,NO_RECLAIM_CONTEMPORANEOUS_CONTROL
027040,2026-03-09,R2C1_RECLAIM_CANDIDATE
001460,2026-04-27,NO_RECLAIM_CONTEMPORANEOUS_CONTROL
004380,2026-05-21,NO_RECLAIM_CONTEMPORANEOUS_CONTROL
